Seagard:13, 海疆城:distance:10
Selmy:13, 赛尔弥:distance:9
Ser:1110, 爵士:distance:7
Seven:84, 无垢者:distance:191
Silver:11, 巴隆爵士:distance:217
Sisterman:10, 罗宾爵士:distance:33
Skirling:9, 风声峡:distance:14
Slynt:57, 史林特:distance:62
Smallwood:47, 斯莫伍德:distance:5
Stannis:214, 史坦尼斯:distance:31
Stoney:9, 石堂镇:distance:9
Storm:51, 瑟恩人:distance:218
Stormcrows:18, 灰虫子:distance:45
Styr:40, 多斯拉克人:distance:229
Symon:19, 西蒙:distance:26
Targaryen:37, 霍斯特公爵:distance:229
Thoros:84, 索罗斯:distance:1
Titan:15, 泰坦:distance:6
Tom:96, 汤姆:distance:91
Tully:61, 的国王:distance:198
Tyrell:146, 泰温公爵:distance:91
Tyrion:646, 提利昂:distance:9
Tywin:211, 泰温:distance:57
Urswyck:24, 乌斯威克:distance:193
Utherydes:9, 乌瑟莱斯:distance:19
Varys:85, 瓦里斯:distance:82
Viserys:39, 韦赛里斯:distance:2
Vyman:11, 韦曼:distance:33
Walder:135, 瓦德:distance:97
Wendel:11, 文德尔:distance:11
Westeros:57, 哈哈大笑:distance:137
Whitetree:10, 白树村:distance:10
Willas:31, 维拉斯:distance:5
Willem:11, 威廉:distance:16
Winterfell:197, 临冬城:distance:19
Wythers:9, 威勒斯:distance:9
Ygritte:133, 耶哥蕊特:distance:29
Yunkai:48, 亚赛尔爵士:distance:215
totoal words: 208
